original,corrected
ge-cīgan,ge-cīgan
ge-cǣlan,ge-cǣlan
ge-cȳð,ge-cȳð
ge-cȳþedness,ge-cȳþedness
ge-deftlice,ge-deftlice
ge-dysigend,ge-dysigend
ge-edcenned,ge-edcenned
ge-endebyrdlīce,ge-endebyrdlīce
ge-feālīce,ge-feālīce
ge-frēge,ge-frēge
ge-frǣge,ge-frǣge
ge-gearwungness,ge-gearwungness
ge-gehold,ge-gehold
ge-gehāwian,ge-gehāwian
ge-genge,ge-genge
ge-gildscipe,ge-gildscipe
ge-gyrian,ge-gyrian
ge-gyrnan,ge-gyrnan
ge-gēman,ge-gēman
ge-hwǣmlic,ge-hwǣmlic
ge-hyhtendlic,ge-hyhtendlic
ge-hylced,ge-hylced
ge-hæplic,ge-hæplic
ge-leorendlīc,ge-leorendlīc
ge-liger,ge-liger
ge-logian,ge-logian
ge-læccendlic,ge-læccendlic
ge-līcettan,ge-līcettan
ge-mearcian,ge-mearcian
ge-merce,ge-merce
ge-recce-līc,ge-recce-līc
ge-sceādlic,ge-sceādlic
ge-scrence,ge-scrence
ge-sig,ge-sig
ge-spræc,ge-spræc
ge-strangian,ge-strangian
ge-sundfullīc,ge-sundfullīc
ge-swungen,ge-swungen
ge-swīcendlīce,ge-swīcendlīce
ge-tænge,ge-tænge
ge-welgian,ge-welgian
ge-wemmendlic,ge-wemmendlic
ge-winfullīc,ge-winfullīc
ge-wlitig,ge-wlitig
ge-wērgian,ge-wērgian
ge-þeōdendlīc,ge-þeōdendlīc
ge-þrec,ge-þrec
ge-þungen,ge-þungen
ge-þynge,ge-þynge
ge-ūtlagian,ge-ūtlagian
geafas,geafas
gealg-treōw,gealg-treōw
gearc,gearc
gearo-wita,gearo-wita
gearwian,gearwian
gebed-giht,gebed-giht
gebed-gīht,gebed-gīht
gebeōr,gebeōr
gebyld,gebyld
gebēldan,gebēldan
gedofen,gedofen
gedwol-mist,gedwol-mist
gedwol-sprǣc,gedwol-sprǣc
gefrett,gefrett
gegendan,gegendan
gehwār,gehwār
gehwǣr,gehwǣr
gelandod,gelandod
geldan,geldan
geleāf-hlystend,geleāf-hlystend
gelimplǣcan,gelimplǣcan
gellet,gellet
gelm,gelm
gelo,gelo
gelæccan,gelæccan
gemynd-beniming,gemynd-beniming
gemynd-blīþe,gemynd-blīþe
geofian,geofian
geofon-flōd,geofon-flōd
geoloca,geoloca
geond,geond
geond-brǣdan,geond-brǣdan
geond-drencan,geond-drencan
geond-flōwan,geond-flōwan
geond-innan,geond-innan
geong-lǣcan,geong-lǣcan
georn-ness,georn-ness
geornung,geornung
geornustlīce,geornust-līce
georran,georran
gerwan,gerwan
gerwian,gerwian
gerād,gerād
gest,gest
gestēdd-hors,gestēdd-hors
geswincfulnys,geswincfulnys
getel-cræft,getel-cræft
getignysse,getignysse
getincnes,getincnes
getincnesse,getincnesse
getingnesse,getingnesse
getingnysse,getingnysse
getinnysse,getinnysse
getyngnesse,getyngnesse
gewif-sǣlig,gewif-sǣlig
gewinful,gewinful
gewit-seōc,gewit-seōc
gewlōh,gewlōh
gewritrǣden,gewritrǣden
geān-,geān-
geān-cwide,geān-cwide
geān-talu,geān-talu
geāra,geāra
